date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:57:45	204866/204866	---MCZ	200	added ('OK')	application/octet-stream	etag:%22de3b43668c007c620f14f589c71a1fb7-ssl-df%22	https://davis-html.netlify.app/assets/fonts/fa-solid-900.eot	C:/Users/IQD%20TECH/OneDrive/Desktop/portfolio/davis-html.netlify.app/assets/fonts/fa-solid-900.eot	(from https://davis-html.netlify.app/assets/css/fontawesome.css)
11:57:47	104252/104252	---MCZ	200	added ('OK')	application/font-woff	etag:%22d40fbdc4369bd344312aa0d4d710bc72-ssl-df%22	https://davis-html.netlify.app/assets/fonts/fa-solid-900.woff	C:/Users/IQD%20TECH/OneDrive/Desktop/portfolio/davis-html.netlify.app/assets/fonts/fa-solid-900.woff	(from https://davis-html.netlify.app/assets/css/fontawesome.css)
11:57:47	204580/204580	---M--	200	added ('OK')	font/ttf	etag:%229b1766381f5e1fb4064b9af27b202f30-ssl%22	https://davis-html.netlify.app/assets/fonts/fa-solid-900.ttf	C:/Users/IQD%20TECH/OneDrive/Desktop/portfolio/davis-html.netlify.app/assets/fonts/fa-solid-900.ttf	(from https://davis-html.netlify.app/assets/css/fontawesome.css)
11:57:48	4024/4024	---MCZ	200	added ('OK')	application/octet-stream	etag:%22efabfb9e56afa88f0ed977fc2fe29176-ssl-df%22	https://davis-html.netlify.app/assets/fonts/lg.eot?n1z373	C:/Users/IQD%20TECH/OneDrive/Desktop/portfolio/davis-html.netlify.app/assets/fonts/lgd641.eot	(from https://davis-html.netlify.app/assets/css/lightgallery.min.css)
11:57:49	4024/4024	---M-Z	200	added ('OK')	application/octet-stream	etag:%22efabfb9e56afa88f0ed977fc2fe29176-ssl-df%22	https://davis-html.netlify.app/assets/fonts/lg.eot?	C:/Users/IQD%20TECH/OneDrive/Desktop/portfolio/davis-html.netlify.app/assets/fonts/lgd41d.eot	(from https://davis-html.netlify.app/assets/css/lightgallery.min.css)
11:57:51	910710/910710	---MCZ	200	added ('OK')	image/svg+xml	etag:%223746c5fffcadad3ca852c24bd996a8e1-ssl-df%22	https://davis-html.netlify.app/assets/fonts/fa-solid-900.svg	C:/Users/IQD%20TECH/OneDrive/Desktop/portfolio/davis-html.netlify.app/assets/fonts/fa-solid-900.svg	(from https://davis-html.netlify.app/assets/css/fontawesome.css)
11:57:51	3956/3956	---MCZ	200	added ('OK')	application/font-woff	etag:%222c95a35291d11a8e4e3ac33cd2df7e27-ssl-df%22	https://davis-html.netlify.app/assets/fonts/lg.woff?n1z373	C:/Users/IQD%20TECH/OneDrive/Desktop/portfolio/davis-html.netlify.app/assets/fonts/lgd641.woff	(from https://davis-html.netlify.app/assets/css/lightgallery.min.css)
11:57:52	3880/3880	---M--	200	added ('OK')	font/ttf	etag:%22a6a26b82b34325313a1420c2fd2bc001-ssl%22	https://davis-html.netlify.app/assets/fonts/lg.ttf?n1z373	C:/Users/IQD%20TECH/OneDrive/Desktop/portfolio/davis-html.netlify.app/assets/fonts/lgd641.ttf	(from https://davis-html.netlify.app/assets/css/lightgallery.min.css)
11:57:52	8855/8855	---MCZ	200	added ('OK')	image/svg+xml	etag:%22e5bbc5765ef1a640f8fbd6c74b9a70da-ssl-df%22	https://davis-html.netlify.app/assets/fonts/lg.svg?n1z373	C:/Users/IQD%20TECH/OneDrive/Desktop/portfolio/davis-html.netlify.app/assets/fonts/lgd641.svg	(from https://davis-html.netlify.app/assets/css/lightgallery.min.css)
11:57:53	3154/3154	---MCZ	404	error ('Not%20Found')	text/html	etag:1605816232-ssl-df	https://davis-html.netlify.app/assets/img/vimeo-play.png	C:/Users/IQD%20TECH/OneDrive/Desktop/portfolio/davis-html.netlify.app/assets/img/vimeo-play.40.delayed	(from https://davis-html.netlify.app/assets/css/lightgallery.min.css)
11:57:53	3154/3154	---MCZ	404	error ('Not%20Found')	text/html	etag:1605816232-ssl-df	https://davis-html.netlify.app/assets/img/video-play.png	C:/Users/IQD%20TECH/OneDrive/Desktop/portfolio/davis-html.netlify.app/assets/img/video-play.41.delayed	(from https://davis-html.netlify.app/assets/css/lightgallery.min.css)
11:57:54	3154/3154	---MCZ	404	error ('Not%20Found')	text/html	etag:1605816232-ssl-df	https://davis-html.netlify.app/assets/img/youtube-play.png	C:/Users/IQD%20TECH/OneDrive/Desktop/portfolio/davis-html.netlify.app/assets/img/youtube-play.42.delayed	(from https://davis-html.netlify.app/assets/css/lightgallery.min.css)
